年	月	日	降雨	实测流量	DTVGM	Btop	Swat
1989	1	1	0	78	31.531	47.32079	11.09
1989	1	2	0	74	49.618	46.69003	9.415
1989	1	3	0.1	75	61.579	46.07314	9.26
1989	1	4	0.038	73	70.684	45.49813	7.791
1989	1	5	0.04	72	77.771	44.96597	7.532
1989	1	6	0	72	82.68	44.51472	8.191
1989	1	7	0.004	69	85.373	44.22947	6.619
1989	1	8	0	67	86.18	44.13389	6.472
1989	1	9	0.175	69	85.794	44.08974	6.13
1989	1	10	0.578	70	87.078	43.9231	5.071
1989	1	11	0.455	70	88.596	45.40402	7.056
1989	1	12	0.473	71	89.776	48.46538	5.097
1989	1	13	0.554	70	93.61	53.01501	6.09
1989	1	14	0	60	93.8	55.32287	5.752
1989	1	15	0.066	55	93.617	53.57579	6.586
1989	1	16	0	53	93.103	50.31249	6.922
1989	1	17	0.056	55	92.287	48.39746	6.12
1989	1	18	0.664	59	96.661	49.54814	5.9
1989	1	19	0	60	95.314	50.10554	33.45
1989	1	20	0	60	93.942	49.36862	12.96
1989	1	21	0.01	58	92.599	46.53664	8.514
1989	1	22	0.001	58	91.207	42.23249	6.16
1989	1	23	0	62	89.772	38.91078	4.651
1989	1	24	0.001	62	88.286	37.65596	4.009
1989	1	25	0	63	86.772	37.89102	3.76
1989	1	26	0	63	85.241	38.2389	3.687
1989	1	27	0.001	64	83.703	37.9355	3.671
1989	1	28	0	65	82.167	37.40683	149.5
1989	1	29	0	65	80.638	37.08601	6.03
1989	1	30	0	66	79.119	37.00485	5.689
1989	1	31	0.001	66	77.615	36.92916	26.81
1989	2	1	0	66	76.128	36.57062	15.19
1989	2	2	0.053	67	74.695	36.20629	7.041
1989	2	3	0.011	68	73.318	35.8553	3.415
1989	2	4	0.09	66	71.98	35.35005	1.749
1989	2	5	0.249	62	70.733	34.88041	1.31
1989	2	6	2.482	62	82.298	36.07926	0.9366
1989	2	7	0.719	62	89.689	37.44104	8.716
1989	2	8	0	61	92.223	38.93661	3.072
1989	2	9	0	63	94.445	40.03148	8.453
1989	2	10	0	64	92.631	40.45038	4.426
1989	2	11	0.012	65	90.929	40.43673	2.956
1989	2	12	0.003	66	89.194	39.97978	1.674
1989	2	13	0.052	66	87.447	39.5215	1.075
1989	2	14	0.001	64	85.668	39.1201	0.7189
1989	2	15	0.009	62	83.871	38.48598	0.2374
1989	2	16	0.234	60	82.218	37.88363	0.045
1989	2	17	0.225	62	81.394	37.29523	0.02104
1989	2	18	0	64	80.222	35.85289	0
1989	2	19	0.011	64	80.725	33.6025	0
1989	2	20	3.55	66	80.298	31.91782	0
1989	2	21	1	59	78.044	31.68349	0
1989	2	22	1.203	59	76.567	32.24787	0
1989	2	23	0.059	62	75.247	32.62452	0
1989	2	24	0.17	63	74.083	32.41672	0
1989	2	25	0	61	72.955	31.92971	0
1989	2	26	0	58	71.833	31.76687	0
1989	2	27	0	56	70.681	31.96696	2.01
1989	2	28	0	64	69.892	32.13916	1.801
1989	3	1	0	66	86.2	32.35589	1955
1989	3	2	0	73	110.849	32.86594	536.9
1989	3	3	0.001	73	121.073	33.6362	138.1
1989	3	4	0.057	74	123.857	34.82889	45.54
1989	3	5	0.001	72	123.172	36.53214	24.9
1989	3	6	0	72	120.831	37.86817	18.72
1989	3	7	0	73	117.674	37.54076	13.86
1989	3	8	0.001	72	114.086	35.29758	9.002
1989	3	9	0.268	71	111.396	32.19044	5.936
1989	3	10	1.058	72	116.295	34.40926	13.84
1989	3	11	0	71	115.35	37.82474	11.34
1989	3	12	0.278	70	121.428	40.70859	8.231
1989	3	13	0.135	72	120.492	39.81112	6.176
1989	3	14	0	73	117.602	37.84488	3.742
1989	3	15	0.002	76	114.133	39.65682	2.649
1989	3	16	0.002	78	111.2	42.90039	2.582
1989	3	17	0.003	78	107.579	43.47772	2.393
1989	3	18	0.105	77	103.843	41.31207	182.8
1989	3	19	0	76	100.292	39.58046	6.982
1989	3	20	0.029	76	97.496	39.32901	12.38
1989	3	21	0.105	77	95.176	38.44641	7.921
1989	3	22	0.449	77	93.007	35.32145	3.604
1989	3	23	0.603	79	91.034	30.90955	2.48
1989	3	24	1.193	82	89.055	27.72292	3.047
1989	3	25	0.512	83	86.692	27.23552	2.496
1989	3	26	0.606	82	84.309	27.98785	2.101
1989	3	27	0.601	80	82.112	28.07034	2.961
1989	3	28	0.04	78	80.282	27.32163	26.05
1989	3	29	2.022	79	81.885	30.32164	16.06
1989	3	30	1.018	83	83.284	36.23146	33.6
1989	3	31	0.763	84	83.572	41.06844	14.19
1989	4	1	0.012	86	85.571	40.70797	795
1989	4	2	0.926	87	91.121	36.09105	197.9
1989	4	3	1.453	90	102.853	37.34997	57.36
1989	4	4	1.548	96	119.267	49.68902	92.33
1989	4	5	0.061	96	120.457	62.83721	200.2
1989	4	6	0.028	92	120.775	65.83663	35.12
1989	4	7	1.51	88	125.16	56.8527	42.38
1989	4	8	1.095	88	124.766	49.6539	30.83
1989	4	9	0.343	86	125.845	52.38947	376.1
1989	4	10	0.025	85	127.303	58.31806	352.4
1989	4	11	1.272	89	135.551	62.19746	99.56
1989	4	12	0.581	93	141.41	63.55266	72.22
1989	4	13	0.481	92	142.749	61.92941	51.25
1989	4	14	0.717	92	144.246	59.02025	42.2
1989	4	15	0.574	91	142.105	56.41521	30.69
1989	4	16	1.246	85	139.927	57.28101	43.04
1989	4	17	3.295	84	142.095	58.06265	33.68
1989	4	18	0.363	83	140.449	54.67296	161.8
1989	4	19	0.194	84	137.817	48.71634	373.1
1989	4	20	1.024	92	142.457	45.52738	100.9
1989	4	21	2.539	109	162.99	55.50817	104.1
1989	4	22	2.005	112	185.51	71.99026	91.56
1989	4	23	0.151	105	190.071	86.22905	226.5
1989	4	24	0.497	101	206.246	93.57568	264.9
1989	4	25	1.097	103	209.799	97.84889	390.9
1989	4	26	0.489	107	208.865	101.7712	605.7
1989	4	27	0.962	112	208.94	98.77641	347.8
1989	4	28	1.577	122	213.172	88.49133	184
1989	4	29	0.645	128	215.5	78.2134	91.3
1989	4	30	1.858	131	217.7	75.25426	64.38
1989	5	1	0.439	135	218.069	75.34831	383.2
1989	5	2	0.166	138	219.609	72.39384	249.7
1989	5	3	4.989	134	221.799	65.93677	48.95
1989	5	4	2.301	137	223.658	58.83098	67.95
1989	5	5	0.204	162	223.701	53.62951	41.21
1989	5	6	1.806	271	220.85	51.95719	30.47
1989	5	7	2.218	381	216.069	52.68222	20.4
